our_number,dedup_group_id,dedup_rank,is_canonical_stage2,is_exact_duplicate_stage2,is_conflict_version_stage2,quality_score,drop_reason
25-11-50265-000214-5,CONFLICT|DOC|0526846|2025-12-20,1,1,0,1,3,kept_canonical
25-11-50265-000231-2,CONFLICT|DOC|0526846|2025-12-20,2,0,0,1,3,dropped_conflict_version
25-11-40639-000023-8,CONFLICT|DOC|0563372|2025-09-17,1,1,0,1,0,kept_canonical
25-11-40639-000016-9,CONFLICT|DOC|0563372|2025-09-17,2,0,0,1,1,dropped_conflict_version
25-11-40639-000085-3,CONFLICT|DOC|0563372|2025-12-17,1,1,0,1,0,kept_canonical
25-11-40639-000086-6,CONFLICT|DOC|0563372|2025-12-17,2,0,0,1,0,dropped_conflict_version
25-11-50055-000028-2,CONFLICT|DOC|0563377|2025-08-26,1,1,0,1,1,kept_canonical
25-11-40639-000021-4,CONFLICT|DOC|0588592|2025-09-17,1,1,0,1,0,kept_canonical
25-11-40639-000022-3,CONFLICT|DOC|0588592|2025-09-17,2,0,0,1,0,dropped_conflict_version
25-11-40639-000081-5,CONFLICT|DOC|0588592|2025-12-17,1,1,0,1,0,kept_canonical
25-11-40639-000082-8,CONFLICT|DOC|0588592|2025-12-17,2,0,0,1,0,dropped_conflict_version
25-11-40639-000036-4,CONFLICT|DOC|0588631|2025-05-21,1,1,0,1,0,kept_canonical
25-11-40639-000037-8,CONFLICT|DOC|0588631|2025-05-21,2,0,0,1,0,dropped_conflict_version
25-11-70127-000021-2,CONFLICT|DOC|0594113|2025-08-12,1,1,0,1,0,kept_canonical
25-11-70127-000022-0,CONFLICT|DOC|0594113|2025-08-12,2,0,0,1,0,dropped_conflict_version
25-11-24005-000009-7,CONFLICT|DOC|0594154|2025-08-08,1,1,0,1,0,kept_canonical
25-11-24005-000016-8,CONFLICT|DOC|0594154|2025-08-08,2,0,0,1,0,dropped_conflict_version
25-11-24005-000007-0,CONFLICT|DOC|0594154|2025-08-08,3,0,0,1,1,dropped_conflict_version
25-11-24005-000027-7,CONFLICT|DOC|0594154|2025-12-12,1,1,0,1,0,kept_canonical
25-11-24005-000028-9,CONFLICT|DOC|0594154|2025-12-12,2,0,0,1,0,dropped_conflict_version
25-11-24005-000026-6,CONFLICT|DOC|0594154|2025-12-12,3,0,0,1,1,dropped_conflict_version
25-11-24005-000013-7,CONFLICT|DOC|0594160|2025-07-25,1,1,0,1,0,kept_canonical
25-11-24005-000014-5,CONFLICT|DOC|0594160|2025-07-25,2,0,0,1,0,dropped_conflict_version
25-11-24005-000015-9,CONFLICT|DOC|0594160|2025-07-25,3,0,0,1,0,dropped_conflict_version
25-11-24005-000029-0,CONFLICT|DOC|0594160|2025-12-12,1,1,0,1,0,kept_canonical
25-11-24005-000030-4,CONFLICT|DOC|0594160|2025-12-12,2,0,0,1,0,dropped_conflict_version
25-11-24005-000031-2,CONFLICT|DOC|0594160|2025-12-12,3,0,0,1,0,dropped_conflict_version
26-11-24005-000010-4,CONFLICT|DOC|0594160|2026-03-12,1,1,0,1,0,kept_canonical
26-11-24005-000011-2,CONFLICT|DOC|0594160|2026-03-12,2,0,0,1,0,dropped_conflict_version
26-11-24005-000012-0,CONFLICT|DOC|0594160|2026-03-12,3,0,0,1,0,dropped_conflict_version
25-11-40909-000013-2,CONFLICT|DOC|0594170|2025-09-18,1,1,0,1,0,kept_canonical
25-11-40909-000014-1,CONFLICT|DOC|0594170|2025-09-18,2,0,0,1,0,dropped_conflict_version
25-11-40909-000015-5,CONFLICT|DOC|0594170|2025-09-18,3,0,0,1,0,dropped_conflict_version
25-11-40849-000102-3,CONFLICT|DOC|0594203|2025-10-15,1,1,0,1,0,kept_canonical
25-11-40849-000103-8,CONFLICT|DOC|0594203|2025-10-15,2,0,0,1,0,dropped_conflict_version
26-11-40849-000015-4,CONFLICT|DOC|0594203|2026-01-15,1,1,0,1,0,kept_canonical
26-11-40849-000016-5,CONFLICT|DOC|0594203|2026-01-15,2,0,0,1,0,dropped_conflict_version
25-11-40639-000067-1,CONFLICT|DOC|0594322|2025-06-18,1,1,0,1,0,kept_canonical
25-11-40639-000068-3,CONFLICT|DOC|0594322|2025-06-18,2,0,0,1,0,dropped_conflict_version
25-11-40639-000017-5,CONFLICT|DOC|0594322|2025-09-17,1,1,0,1,0,kept_canonical
25-11-40639-000027-2,CONFLICT|DOC|0594322|2025-09-17,2,0,0,1,0,dropped_conflict_version
25-11-40909-000017-8,CONFLICT|DOC|0594382|2025-09-25,1,1,0,1,0,kept_canonical
25-11-40909-000018-6,CONFLICT|DOC|0594382|2025-09-25,2,0,0,1,0,dropped_conflict_version
25-11-30797-000008-4,CONFLICT|DOC|0594456|2025-08-22,1,1,0,1,1,kept_canonical
25-11-30797-000009-2,CONFLICT|DOC|0594456|2025-08-22,2,0,0,1,1,dropped_conflict_version
25-11-40639-000054-9,CONFLICT|DOC|0594467|2025-08-20,1,1,0,1,0,kept_canonical
25-11-40639-000055-8,CONFLICT|DOC|0594467|2025-08-20,2,0,0,1,0,dropped_conflict_version
25-11-40639-000075-6,CONFLICT|DOC|0594467|2025-11-19,1,1,0,1,0,kept_canonical
25-11-40639-000076-2,CONFLICT|DOC|0594467|2025-11-19,2,0,0,1,0,dropped_conflict_version
25-11-30797-000003-7,CONFLICT|DOC|0594537|2025-08-21,1,1,0,1,0,kept_canonical
25-11-30797-000004-5,CONFLICT|DOC|0594537|2025-08-21,2,0,0,1,1,dropped_conflict_version
25-11-10590-000026-9,CONFLICT|DOC|0594653|2025-12-12,1,1,0,1,0,kept_canonical
25-11-10590-000035-9,CONFLICT|DOC|0594662|2025-12-12,1,1,0,1,0,kept_canonical
25-11-10590-000030-0,CONFLICT|DOC|0594662|2025-12-12,2,0,0,1,1,dropped_conflict_version
25-11-40639-000077-0,CONFLICT|DOC|0594705|2025-12-10,1,1,0,1,0,kept_canonical
25-11-40639-000078-1,CONFLICT|DOC|0594705|2025-12-10,2,0,0,1,0,dropped_conflict_version
25-11-50055-000038-0,CONFLICT|DOC|0594745|2025-08-26,1,1,0,1,1,kept_canonical
25-11-50055-000043-9,CONFLICT|DOC|0594745|2025-08-26,2,0,0,1,1,dropped_conflict_version
25-11-70089-000031-6,CONFLICT|DOC|0594911|2025-08-22,1,1,0,1,0,kept_canonical
25-11-70089-000032-7,CONFLICT|DOC|0594911|2025-08-22,2,0,0,1,0,dropped_conflict_version
25-11-70089-000066-1,CONFLICT|DOC|0594911|2025-11-26,1,1,0,1,0,kept_canonical
25-11-70089-000074-5,CONFLICT|DOC|0594911|2025-11-26,2,0,0,1,0,dropped_conflict_version
25-11-70032-000012-3,CONFLICT|DOC|0594929|2025-08-27,1,1,0,1,0,kept_canonical
25-11-70032-000014-6,CONFLICT|DOC|0594929|2025-08-27,2,0,0,1,0,dropped_conflict_version
25-11-70032-000016-7,CONFLICT|DOC|0594929|2025-08-27,3,0,0,1,0,dropped_conflict_version
25-11-70089-000020-6,CONFLICT|DOC|0594933|2025-08-20,1,1,0,1,0,kept_canonical
25-11-70089-000021-1,CONFLICT|DOC|0594933|2025-08-20,2,0,0,1,0,dropped_conflict_version
25-11-70089-000033-4,CONFLICT|DOC|0594935|2025-08-22,1,1,0,1,0,kept_canonical
25-11-70089-000034-2,CONFLICT|DOC|0594935|2025-08-22,2,0,0,1,0,dropped_conflict_version
25-11-70089-000017-7,CONFLICT|DOC|0594938|2025-08-20,1,1,0,1,0,kept_canonical
25-11-70089-000018-9,CONFLICT|DOC|0594938|2025-08-20,2,0,0,1,0,dropped_conflict_version
25-11-70089-000019-0,CONFLICT|DOC|0594938|2025-08-20,3,0,0,1,0,dropped_conflict_version
25-11-70089-000056-0,CONFLICT|DOC|0594938|2025-11-25,1,1,0,1,0,kept_canonical
25-11-70089-000060-4,CONFLICT|DOC|0594938|2025-11-25,2,0,0,1,0,dropped_conflict_version
25-11-70032-000005-0,CONFLICT|DOC|0594943|2025-08-27,1,1,0,1,0,kept_canonical
25-11-70032-000013-8,CONFLICT|DOC|0594943|2025-08-27,2,0,0,1,0,dropped_conflict_version
25-11-70089-000024-0,CONFLICT|DOC|0594947|2025-08-20,1,1,0,1,1,kept_canonical
25-11-70089-000025-4,CONFLICT|DOC|0594947|2025-08-20,2,0,0,1,1,dropped_conflict_version
25-11-70089-000055-2,CONFLICT|DOC|0594947|2025-11-25,1,1,0,1,1,kept_canonical
25-11-70089-000059-4,CONFLICT|DOC|0594947|2025-11-25,2,0,0,1,1,dropped_conflict_version
26-11-70242-000002-8,CONFLICT|DOC|0602029|2026-01-16,1,1,0,1,1,kept_canonical
26-11-70242-000003-1,CONFLICT|DOC|0602029|2026-01-16,2,0,0,1,1,dropped_conflict_version
25-11-30560-000009-8,CONFLICT|DOC|0607498|2025-09-24,1,1,0,1,0,kept_canonical
25-11-30560-000008-7,CONFLICT|DOC|0607498|2025-09-24,2,0,0,1,1,dropped_conflict_version
25-11-50301-000060-3,CONFLICT|DOC|0628412|2025-10-21,1,1,0,1,1,kept_canonical
25-11-50301-000061-6,CONFLICT|DOC|0628412|2025-10-21,2,0,0,1,1,dropped_conflict_version
26-11-50301-000001-4,CONFLICT|DOC|0628412|2026-01-20,1,1,0,1,1,kept_canonical
26-11-50301-000008-0,CONFLICT|DOC|0628412|2026-01-20,2,0,0,1,1,dropped_conflict_version
25-11-50317-000015-7,CONFLICT|DOC|0666884|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000030-5,CONFLICT|DOC|0666884|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-50317-000013-6,CONFLICT|DOC|0666885|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000028-4,CONFLICT|DOC|0666885|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-50301-000071-5,CONFLICT|DOC|0671838|2025-11-11,1,1,0,1,0,kept_canonical
25-11-50301-000072-8,CONFLICT|DOC|0671838|2025-11-11,2,0,0,1,0,dropped_conflict_version
26-11-50301-000003-8,CONFLICT|DOC|0671838|2026-01-20,1,1,0,1,1,kept_canonical
26-11-50301-000004-6,CONFLICT|DOC|0671838|2026-01-20,2,0,0,1,1,dropped_conflict_version
25-11-70089-000039-1,CONFLICT|DOC|0682253|2025-08-28,1,1,0,1,0,kept_canonical
25-11-70089-000044-9,CONFLICT|DOC|0682253|2025-08-28,2,0,0,1,0,dropped_conflict_version
25-11-70089-000070-0,CONFLICT|DOC|0682253|2025-11-28,1,1,0,1,0,kept_canonical
25-11-70089-000076-8,CONFLICT|DOC|0682253|2025-11-28,2,0,0,1,0,dropped_conflict_version
25-11-70089-000052-6,CONFLICT|DOC|0682318|2025-11-25,1,1,0,1,0,kept_canonical
25-11-70089-000065-7,CONFLICT|DOC|0682318|2025-11-25,2,0,0,1,0,dropped_conflict_version
25-11-70089-000037-5,CONFLICT|DOC|0682356|2025-08-22,1,1,0,1,0,kept_canonical
25-11-70089-000038-8,CONFLICT|DOC|0682356|2025-08-22,2,0,0,1,0,dropped_conflict_version
25-11-10673-000014-7,CONFLICT|DOC|0682366|2025-08-21,1,1,0,1,0,kept_canonical
25-11-10673-000016-0,CONFLICT|DOC|0682366|2025-08-21,2,0,0,1,0,dropped_conflict_version
25-11-10673-000035-4,CONFLICT|DOC|0682366|2025-12-04,1,1,0,1,0,kept_canonical
25-11-10673-000039-8,CONFLICT|DOC|0682366|2025-12-04,2,0,0,1,0,dropped_conflict_version
26-11-10673-000010-4,CONFLICT|DOC|0682366|2026-03-05,1,1,0,1,1,kept_canonical
26-11-10673-000012-0,CONFLICT|DOC|0682366|2026-03-05,2,0,0,1,1,dropped_conflict_version
25-11-10673-000013-9,CONFLICT|DOC|0682384|2025-08-21,1,1,0,1,0,kept_canonical
25-11-10673-000017-1,CONFLICT|DOC|0682384|2025-08-21,2,0,0,1,0,dropped_conflict_version
25-11-10673-000034-0,CONFLICT|DOC|0682384|2025-12-04,1,1,0,1,0,kept_canonical
25-11-10673-000040-4,CONFLICT|DOC|0682384|2025-12-04,2,0,0,1,0,dropped_conflict_version
26-11-10673-000009-8,CONFLICT|DOC|0682384|2026-03-05,1,1,0,1,1,kept_canonical
26-11-10673-000013-6,CONFLICT|DOC|0682384|2026-03-05,2,0,0,1,1,dropped_conflict_version
25-11-10673-000026-2,CONFLICT|DOC|0682418|2025-10-02,1,1,0,1,0,kept_canonical
25-11-10673-000027-0,CONFLICT|DOC|0682418|2025-10-02,2,0,0,1,0,dropped_conflict_version
26-11-10673-000003-3,CONFLICT|DOC|0682418|2026-01-15,1,1,0,1,0,kept_canonical
26-11-10673-000004-0,CONFLICT|DOC|0682418|2026-01-15,2,0,0,1,0,dropped_conflict_version
25-11-40909-000023-6,CONFLICT|DOC|0682457|2025-11-06,1,1,0,1,0,kept_canonical
25-11-40909-000024-8,CONFLICT|DOC|0682457|2025-11-06,2,0,0,1,0,dropped_conflict_version
26-11-40909-000001-1,CONFLICT|DOC|0682457|2026-02-19,1,1,0,1,0,kept_canonical
26-11-40909-000002-2,CONFLICT|DOC|0682457|2026-02-19,2,0,0,1,0,dropped_conflict_version
26-11-20676-000031-0,CONFLICT|DOC|0682624|2026-01-27,1,1,0,1,1,kept_canonical
26-11-20676-000032-9,CONFLICT|DOC|0682624|2026-01-27,2,0,0,1,1,dropped_conflict_version
25-11-50265-000222-8,CONFLICT|DOC|0685182|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000239-9,CONFLICT|DOC|0685182|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-70439-000007-1,CONFLICT|DOC|10096166|2025-09-30,1,1,0,1,0,kept_canonical
25-11-70439-000008-3,CONFLICT|DOC|10096166|2025-09-30,2,0,0,1,0,dropped_conflict_version
25-11-70439-000012-9,CONFLICT|DOC|10096166|2025-12-30,1,1,0,1,0,kept_canonical
25-11-70439-000013-2,CONFLICT|DOC|10096166|2025-12-30,2,0,0,1,0,dropped_conflict_version
25-11-50317-000004-0,CONFLICT|DOC|101811585|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000027-6,CONFLICT|DOC|101811585|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-20818-000005-9,CONFLICT|DOC|10249110002459|2025-09-06,1,1,0,1,0,kept_canonical
25-11-20818-000006-8,CONFLICT|DOC|10249110002459|2025-09-06,2,0,0,1,0,dropped_conflict_version
25-11-60080-000097-1,CONFLICT|DOC|1025920|2025-11-26,1,1,0,1,0,kept_canonical
25-11-60080-000127-1,CONFLICT|DOC|1025920|2025-11-26,2,0,0,1,1,dropped_conflict_version
25-11-50265-000219-2,CONFLICT|DOC|1082405|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000236-1,CONFLICT|DOC|1082405|2025-12-20,2,0,0,1,3,dropped_conflict_version
25-11-10860-000030-5,CONFLICT|DOC|1148655|2025-08-25,1,1,0,1,0,kept_canonical
25-11-10860-000031-8,CONFLICT|DOC|1148655|2025-08-25,2,0,0,1,0,dropped_conflict_version
25-11-70439-000003-9,CONFLICT|DOC|11814603|2025-08-29,1,1,0,1,0,kept_canonical
25-11-70439-000004-7,CONFLICT|DOC|11814603|2025-08-29,2,0,0,1,0,dropped_conflict_version
25-11-30653-000020-6,CONFLICT|DOC|1273235|2025-10-06,1,1,0,1,0,kept_canonical
25-11-30653-000021-1,CONFLICT|DOC|1273235|2025-10-06,2,0,0,1,0,dropped_conflict_version
25-11-50317-000003-3,CONFLICT|DOC|1303197|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000026-8,CONFLICT|DOC|1303197|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-10860-000038-3,CONFLICT|DOC|13101830|2025-09-23,1,1,0,1,0,kept_canonical
25-11-10860-000046-7,CONFLICT|DOC|13101830|2025-09-23,2,0,0,1,1,dropped_conflict_version
25-11-11024-000001-3,CONFLICT|DOC|1346108|2025-10-31,1,1,0,1,0,kept_canonical
26-11-11024-000001-7,CONFLICT|DOC|1346108|2025-10-31,2,0,0,1,1,dropped_conflict_version
25-11-11024-000002-1,CONFLICT|DOC|1346109|2025-10-31,1,1,0,1,0,kept_canonical
26-11-11024-000002-5,CONFLICT|DOC|1346109|2025-10-31,2,0,0,1,1,dropped_conflict_version
25-11-50265-000013-0,CONFLICT|DOC|135698330052023|2025-10-18,1,1,0,1,0,kept_canonical
25-11-50265-000186-1,CONFLICT|DOC|135698330052023|2025-10-18,2,0,0,1,1,dropped_conflict_version
25-11-60079-000065-0,CONFLICT|DOC|1373962|2025-10-29,1,1,0,1,0,kept_canonical
25-11-60079-000067-5,CONFLICT|DOC|1373962|2025-10-29,2,0,0,1,0,dropped_conflict_version
25-11-60079-000024-8,CONFLICT|DOC|1431619|2025-09-24,1,1,0,1,0,kept_canonical
25-11-60079-000039-6,CONFLICT|DOC|1431619|2025-09-24,2,0,0,1,0,dropped_conflict_version
25-11-50133-000114-6,CONFLICT|DOC|1479313|2025-08-20,1,1,0,1,0,kept_canonical
25-11-50133-000115-1,CONFLICT|DOC|1479313|2025-08-20,2,0,0,1,0,dropped_conflict_version
25-11-40876-000030-5,CONFLICT|DOC|15242342|2025-08-26,1,1,0,1,0,kept_canonical
25-11-40876-000056-2,CONFLICT|DOC|15242342|2025-08-26,2,0,0,1,1,dropped_conflict_version
25-11-50143-000048-7,CONFLICT|DOC|1555566|2025-08-21,1,1,0,1,0,kept_canonical
25-11-50143-000050-1,CONFLICT|DOC|1555566|2025-08-21,2,0,0,1,1,dropped_conflict_version
25-11-50317-000014-8,CONFLICT|DOC|1686872|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000029-2,CONFLICT|DOC|1686872|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-70289-000001-1,CONFLICT|DOC|1698080|2025-09-25,1,1,0,1,0,kept_canonical
25-11-70289-000028-4,CONFLICT|DOC|1698080|2025-09-25,2,0,0,1,0,dropped_conflict_version
25-11-50265-000223-1,CONFLICT|DOC|1737287|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000240-7,CONFLICT|DOC|1737287|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-74917-000043-8,CONFLICT|DOC|1818485|2025-09-16,1,1,0,1,1,kept_canonical
25-11-74917-000044-6,CONFLICT|DOC|1818485|2025-09-16,2,0,0,1,1,dropped_conflict_version
25-11-50317-000001-1,CONFLICT|DOC|1894032|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000024-5,CONFLICT|DOC|1894032|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-10699-000074-2,CONFLICT|DOC|2075004|2025-10-07,1,1,0,1,0,kept_canonical
25-11-10699-000095-5,CONFLICT|DOC|2075004|2025-10-07,2,0,0,1,1,dropped_conflict_version
25-11-50317-000019-9,CONFLICT|DOC|2129272|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000031-8,CONFLICT|DOC|2129272|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-20624-000011-4,CONFLICT|DOC|2144476|2025-09-24,1,1,0,1,0,kept_canonical
25-11-20624-000018-0,CONFLICT|DOC|2144476|2025-09-24,2,0,0,1,1,dropped_conflict_version
25-11-50317-000020-0,CONFLICT|DOC|2148145|2025-08-27,1,1,0,1,0,kept_canonical
25-11-50317-000032-6,CONFLICT|DOC|2148145|2025-08-27,2,0,0,1,1,dropped_conflict_version
25-11-40876-000029-2,CONFLICT|DOC|2228836|2025-08-26,1,1,0,1,0,kept_canonical
25-11-40876-000057-0,CONFLICT|DOC|2228836|2025-08-26,2,0,0,1,1,dropped_conflict_version
25-11-70283-000061-1,CONFLICT|DOC|2402916|2025-09-03,1,1,0,1,0,kept_canonical
25-11-70283-000199-7,CONFLICT|DOC|2402916|2025-09-03,2,0,0,1,0,dropped_conflict_version
25-11-50298-000002-1,CONFLICT|DOC|2499582|2025-08-20,1,1,0,1,0,kept_canonical
25-11-50298-000003-7,CONFLICT|DOC|2499582|2025-08-20,2,0,0,1,0,dropped_conflict_version
25-11-60276-000007-7,CONFLICT|DOC|2576991|2025-09-16,1,1,0,1,0,kept_canonical
25-11-60276-000008-9,CONFLICT|DOC|2576991|2025-09-16,2,0,0,1,0,dropped_conflict_version
25-11-50265-000225-3,CONFLICT|DOC|2608020|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000242-9,CONFLICT|DOC|2608020|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-40843-000069-0,CONFLICT|DOC|2711225|2025-11-15,1,1,0,1,2,kept_canonical
25-11-40843-000086-7,CONFLICT|DOC|2711225|2025-11-15,2,0,0,1,2,dropped_conflict_version
25-11-40843-000087-2,CONFLICT|DOC|2711225|2025-11-15,3,0,0,1,2,dropped_conflict_version
25-11-10860-000060-7,CONFLICT|DOC|271555|2025-11-19,1,1,0,1,0,kept_canonical
25-11-10860-000065-5,CONFLICT|DOC|271555|2025-11-19,2,0,0,1,1,dropped_conflict_version
25-11-10701-000084-6,CONFLICT|DOC|2830237|2025-09-16,1,1,0,1,0,kept_canonical
25-11-10701-000096-4,CONFLICT|DOC|2830237|2025-09-16,2,0,0,1,0,dropped_conflict_version
25-11-50265-000211-3,CONFLICT|DOC|2922446|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000228-9,CONFLICT|DOC|2922446|2025-12-20,2,0,0,1,2,dropped_conflict_version
26-11-60078-000095-2,CONFLICT|DOC|313435|2026-02-26,1,1,0,1,0,kept_canonical
26-11-60078-000096-0,CONFLICT|DOC|313435|2026-02-26,2,0,0,1,0,dropped_conflict_version
25-11-50265-000224-4,CONFLICT|DOC|3213113|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000241-0,CONFLICT|DOC|3213113|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-60298-000006-1,CONFLICT|DOC|3228975|2025-08-19,1,1,0,1,0,kept_canonical
25-11-60298-000007-3,CONFLICT|DOC|3228975|2025-08-19,2,0,0,1,0,dropped_conflict_version
25-11-50145-000053-4,CONFLICT|DOC|3259492|2025-10-29,1,1,0,1,0,kept_canonical
25-11-50145-000059-1,CONFLICT|DOC|3259492|2025-10-29,2,0,0,1,1,dropped_conflict_version
25-11-30622-000002-3,CONFLICT|DOC|3295417|2025-09-03,1,1,0,1,0,kept_canonical
25-11-30622-000003-8,CONFLICT|DOC|3295417|2025-09-03,2,0,0,1,0,dropped_conflict_version
25-11-20676-000150-2,CONFLICT|DOC|3436346|2025-12-17,1,1,0,1,0,kept_canonical
25-11-20676-000153-1,CONFLICT|DOC|3436346|2025-12-17,2,0,0,1,1,dropped_conflict_version
25-11-50265-000216-8,CONFLICT|DOC|3436910|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000233-6,CONFLICT|DOC|3436910|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-20654-000111-9,CONFLICT|DOC|3505874|2025-10-18,1,1,0,1,0,kept_canonical
25-11-20654-000227-7,CONFLICT|DOC|3505874|2025-10-18,2,0,0,1,1,dropped_conflict_version
25-11-50265-000212-1,CONFLICT|DOC|3557445|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000229-0,CONFLICT|DOC|3557445|2025-12-20,2,0,0,1,2,dropped_conflict_version
26-11-40843-000002-7,CONFLICT|DOC|3605833|2026-01-17,1,1,0,1,1,kept_canonical
26-11-40843-000006-9,CONFLICT|DOC|3605833|2026-01-17,2,0,0,1,2,dropped_conflict_version
25-11-50265-000210-0,CONFLICT|DOC|3703581|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000227-7,CONFLICT|DOC|3703581|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-20658-000037-4,CONFLICT|DOC|3710574|2025-10-28,1,1,0,1,0,kept_canonical
25-11-20658-000038-2,CONFLICT|DOC|3710574|2025-10-28,2,0,0,1,0,dropped_conflict_version
25-11-10840-000050-9,CONFLICT|DOC|3745855|2025-09-20,1,1,0,1,0,kept_canonical
25-11-10840-000051-4,CONFLICT|DOC|3745855|2025-09-20,2,0,0,1,0,dropped_conflict_version
25-11-50265-000187-3,CONFLICT|DOC|375703819122022|2025-11-15,1,1,0,1,0,kept_canonical
25-11-50265-000207-0,CONFLICT|DOC|375703819122022|2025-11-15,2,0,0,1,1,dropped_conflict_version
25-11-50265-000217-6,CONFLICT|DOC|3931596|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000234-8,CONFLICT|DOC|3931596|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-40670-000018-0,CONFLICT|DOC|3963806|2025-08-26,1,1,0,1,1,kept_canonical
25-11-70242-000167-5,CONFLICT|DOC|403453293|2025-12-22,1,1,0,1,0,kept_canonical
25-11-70242-000169-1,CONFLICT|DOC|403453293|2025-12-22,2,0,0,1,0,dropped_conflict_version
25-11-50265-000192-6,CONFLICT|DOC|40452733207112017|2025-11-15,1,1,0,1,0,kept_canonical
