our_number,child_key_stage2,current_test_date,prev_test_date,days_since_prev_test_stage3,violation_severity,result_norm,class,variant,ogrn_naprav,name_naprav,ogrn_area,name_area,quality_score,risk_level
25-11-30797-000005-9,DOC|0594444,2025-08-22,2025-08-21,1.0,critical,недостаточный,4,80405,1026602233085,Муниципальное казенное общеобразовательное учреждение Талицкая основная общеобразовательная школа № 8,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,1,medium
25-11-70089-000057-1,DOC|0594935,2025-11-25,2025-11-24,1.0,critical,недостаточный,1,110121,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",1,medium
25-11-70089-000058-3,DOC|0682253,2025-11-25,2025-11-24,1.0,critical,недостаточный,1,110122,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",1,medium
25-11-60295-000459-7,DOC|5225314,2025-12-10,2025-12-09,1.0,critical,достаточный,2,120209,1037739108593,"Частное учреждение средняя общеобразовательная школа ""Олимп-Плюс""",1027739814178,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,1,medium
25-11-30797-000002-1,DOC|0594472,2025-08-22,2025-08-21,1.0,critical,недостаточный,4,80405,1026602233085,Муниципальное казенное общеобразовательное учреждение Талицкая основная общеобразовательная школа № 8,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,0,low
25-11-30797-000013-0,DOC|0594472,2025-08-23,2025-08-22,1.0,critical,недостаточный,10,81005,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,0,low
25-11-70089-000053-9,DOC|0594933,2025-11-25,2025-11-24,1.0,critical,недостаточный,1,110122,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000056-0,DOC|0594938,2025-11-25,2025-11-24,1.0,critical,недостаточный,1,110121,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000067-3,DOC|0545649,2025-11-26,2025-11-25,1.0,critical,недостаточный,4,110408,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000073-7,DOC|0594935,2025-11-26,2025-11-25,1.0,critical,недостаточный,5,110508,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70008-000012-3,DOC|3202870,2025-11-14,2025-11-12,2.0,critical,недостаточный,7,110708,1020201998574,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 17"" городского округа город Салават Республики Башкортостан",1020201996528,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №24 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ИНОСТРАННОГО ЯЗЫКА"" ГОРОДСКОГО ОКРУГА ГОРОД САЛАВАТ РЕСПУБЛИКИ БАШКОРТОСТАН",1,medium
25-11-70089-000028-7,DOC|0545648,2025-08-22,2025-08-20,2.0,critical,недостаточный,7,80705,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000030-3,DOC|0545649,2025-08-22,2025-08-20,2.0,critical,недостаточный,6,80605,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000033-4,DOC|0594935,2025-08-22,2025-08-20,2.0,critical,недостаточный,7,80705,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000035-0,DOC|0682253,2025-08-22,2025-08-20,2.0,critical,недостаточный,5,80505,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000029-8,DOC|0682318,2025-08-22,2025-08-20,2.0,critical,недостаточный,6,80605,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000072-1,DOC|0545648,2025-11-26,2025-11-24,2.0,critical,недостаточный,5,110508,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000069-9,DOC|0594911,2025-11-28,2025-11-26,2.0,critical,недостаточный,9,110908,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000068-5,DOC|0682362,2025-11-28,2025-11-26,2.0,critical,недостаточный,9,110908,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-50264-000192-2,DOC|557457,2025-10-18,2025-10-15,3.0,critical,достаточный,1,100117,1026602951231,Муниципальное автономное общеобразовательное учреждение гимназия № 174 имени Л.Я. Драпкина,1026602319402,Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 171,0,low
25-11-70089-000070-0,DOC|0682253,2025-11-28,2025-11-25,3.0,critical,недостаточный,9,110908,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70261-000045-0,DOC|1219567,2025-12-25,2025-12-20,5.0,critical,достаточный,4,120409,1026602178404,муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 7» с. Патруши,1026602174719,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 9 имени Героя Советского Союза А.И.Крапивина""",2,medium
25-11-70261-000044-2,DOC|0605055,2025-12-25,2025-12-20,5.0,critical,достаточный,1,120125,1026602175720,Муниципальное автономное общеобразовательное учреждение Средняя общеобразовательная школа № 18 п. Октябрьский,1026602174719,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 9 имени Героя Советского Союза А.И.Крапивина""",1,medium
25-11-70089-000043-0,DOC|0594911,2025-08-28,2025-08-22,6.0,critical,недостаточный,11,81105,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,муниципальное бюджетное общеобразовательное учреждение городского округа Город Архангельск  Средняя школа № 28,0,low
25-11-70089-000039-1,DOC|0682253,2025-08-28,2025-08-22,6.0,critical,недостаточный,9,80905,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000040-1,DOC|0682295,2025-08-28,2025-08-22,6.0,critical,недостаточный,8,80805,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000041-7,DOC|0682356,2025-08-28,2025-08-22,6.0,critical,недостаточный,8,80805,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова""",0,low
25-11-70089-000042-5,DOC|0682362,2025-08-28,2025-08-22,6.0,critical,недостаточный,10,81005,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,муниципальное бюджетное общеобразовательное учреждение городского округа Город Архангельск  Средняя школа № 28,0,low
25-11-30843-000048-7,DOC|1062653,2025-12-16,2025-12-10,6.0,critical,достаточный,3,120309,1028600513644,Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа № 6 имени Сирина Николая Ивановича,1028600513435,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа 5 имени Безноскова Ивана Захаровича»,0,low
25-11-20838-000051-3,DOC|05129772,2025-08-26,2025-08-19,7.0,critical,достаточный,1,80110,1027801583534,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №110 Выборгского района Санкт-Петербурга,1027801583700,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 559 Выборгского района Санкт-Петербурга,2,medium
25-11-50121-000034-8,DOC|N2617088,2025-12-17,2025-12-10,7.0,critical,недостаточный,2,727.120209,1033600021840,муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 48,1033600036392,муниципальное бюджетное общеобразовательное учреждение «Лицей «Многоуровневый образовательный комплекс №2»,2,medium
26-11-60295-000039-7,DOC|3901836,2026-02-04,2026-01-28,7.0,critical,достаточный,4,10410,5077746818452,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»,1027739814178,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,2,medium
26-11-20681-000008-0,DOC|599607,2026-02-05,2026-01-29,7.0,critical,достаточный,4,20411,1045610200998,"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 13 г. Орска""",1045610200998,"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 13 г. Орска""",1,medium
25-11-30669-000263-6,DOC|N,2025-09-16,2025-09-09,7.0,critical,достаточный,3,90306,1235400030360,муниципальное автономное общеобразовательное учреждение города Новосибирска «Средняя общеобразовательная школа № 221»,1025401315180,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 91""",0,low
25-11-50055-000046-0,DOC|0594743,2025-09-03,2025-08-26,8.0,critical,достаточный,3,80305,1031800552299,Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа №9,1191832007806,"бюджетное общеобразовательное учреждение Удмуртской Республики ""Столичный лицей имени Е.М. Кунгурцева""",1,medium
25-11-60079-000019-3,DOC|850963,2025-08-27,2025-08-19,8.0,critical,достаточный,1,80109,1022502125942,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 37 Г. ВЛАДИВОСТОКА""",1022501802421,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 59 г. Владивостока""",0,low
25-11-40875-000009-4,DOC|4171505,2025-10-22,2025-10-13,9.0,critical,достаточный,6,727.050602,1027600622059,"муниципальное общеобразовательное учреждение ""Средняя школа № 2 имени Л.П. Семеновой""",1027600692998,государственное общеобразовательное учреждение Ярославской областиСредняя школа Провинциальный колледж,2,medium
26-11-20818-000002-4,DOC|5024013,2026-02-04,2026-01-21,14.0,critical,достаточный,2,727.020211,1027000771269,"Муниципальное бюджетное общеобразовательное учреждение ""Богашевская средняя общеобразовательная школа им. А.И. Федорова"" Томского района",1027000767353,муниципальное автономное общеобразовательное учреждение Зональненская средняя общеобразовательная школа Томского района,3,high
25-11-60295-000173-2,DOC|6303361,2025-10-29,2025-10-15,14.0,critical,недостаточный,1,100118,1027739814178,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,1027739814178,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,2,medium
25-11-20676-000130-8,DOC|2024631,2025-11-06,2025-10-23,14.0,critical,достаточный,9,727.040901,1055515028205,"Муниципальное бюджетное общеобразовательное учреждение ""Азовская средняя общеобразовательная школа № 2"" Азовского немецкого национального муниципального района Омской области",1025501379584,бюджетное общеобразовательное учреждение города Омска Гимназия № 140,2,medium
25-11-20848-000035-2,DOC|5547185,2025-12-11,2025-11-27,14.0,critical,недостаточный,8,727.120809,1022701198410,муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 39,1022701134719,муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 16,2,medium
25-11-70284-000292-4,DOC|010824879,2025-10-01,2025-09-17,14.0,critical,достаточный,1,90113,1037739633634,Государственное бюджетное общеобразовательное учреждение города Москвы «Академическая школа № 1534»,1115074013130,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2083»,1,medium
25-11-50328-000019-9,DOC|N18002549,2025-10-15,2025-10-01,14.0,critical,достаточный,4,100407,1035205641272,муниципальное бюджетное общеобразовательное учреждение «Школа № 48»,1025203572250,муниципальное бюджетное общеобразовательное учреждение «Школа № 11 имени Г.С.Бересневой»,1,medium
25-11-20675-000149-2,DOC|1199619,2025-10-21,2025-10-07,14.0,critical,недостаточный,4,100407,1025403195432,"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 1""",1025401019456,муниципальное автономное общеобразовательное учреждение города Новосибирска «Средняя общеобразовательная школа № 77»,1,medium
25-11-20676-000127-8,DOC|5767918,2025-11-06,2025-10-23,14.0,critical,достаточный,1,100117,1025501860317,"Муниципальное бюджетное общеобразовательное учреждение ""Лузинская средняя общеобразовательная школа № 2 Омского муниципального района Омской области""",1025501379584,бюджетное общеобразовательное учреждение города Омска Гимназия № 140,1,medium
25-11-20676-000128-6,DOC|7110172,2025-11-06,2025-10-23,14.0,critical,достаточный,1,100117,1025501860317,"Муниципальное бюджетное общеобразовательное учреждение ""Лузинская средняя общеобразовательная школа № 2 Омского муниципального района Омской области""",1025501379584,бюджетное общеобразовательное учреждение города Омска Гимназия № 140,1,medium
25-11-20676-000129-3,DOC|8772466,2025-11-06,2025-10-23,14.0,critical,достаточный,1,100117,1025501245440,"бюджетное общеобразовательное учреждение города Омска ""Средняя общеобразовательная школа № 134""",1025501379584,бюджетное общеобразовательное учреждение города Омска Гимназия № 140,1,medium
25-11-20676-000126-4,DOC|N17641108,2025-11-06,2025-10-23,14.0,critical,достаточный,4,100407,1025501860317,"Муниципальное бюджетное общеобразовательное учреждение ""Лузинская средняя общеобразовательная школа № 2 Омского муниципального района Омской области""",1025501379584,бюджетное общеобразовательное учреждение города Омска Гимназия № 140,1,medium
25-11-70132-000005-9,DOC|N18207316,2025-12-18,2025-12-04,14.0,critical,достаточный,4,120409,1025602728678,Муниципальное бюджетное общеобразовательное учреждение Краснокоммунарская средняя общеобразовательная школа,1025602729987,"Муниципальное бюджетное общеобразовательное учреждение ""Тат. Каргалинская средняя общеобразовательная школа""",1,medium
25-11-70284-000710-5,DOC|011749884,2026-02-11,2026-01-28,14.0,critical,недостаточный,6,20611,1027739618246,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2001""",1115074013130,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2083»,1,medium
26-11-30672-000023-7,DOC|406030259,2026-03-05,2026-02-19,14.0,critical,недостаточный,4,30412,1145658023257,Муниципальное общеобразовательное автономное учреждение Средняя общеобразовательная школа № 85,1025600886937,"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 19""",1,medium
25-11-10701-000064-4,DOC|13502947,2025-09-02,2025-08-19,14.0,critical,достаточный,9,80905,1214800018784,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 города Грязи Грязинского муниципального района Липецкой области,1194827011081,муниципальное автономное общеобразовательное учреждение инженерно-технологическая школа № 27 города Липецка,0,low
